# voice profile for vits-piper-en_US-libritts_r-medium, 904 speakers
# median F0 in Hz over voiced frames of one fixed sentence; see voiceprofile.py
speaker	f0_hz	voice
221	131.2	male
222	116.1	male
223	120.5	male
224	176.4	female
225	113.1	male
226	190.1	female
227	95.9	male
228	196.9	female
229	191.7	female
230	145.1	unclear
231	118.2	male
232	109.2	male
233	110.8	male
234	188.5	female
235	165.8	female
236	160.9	female
237	176.4	female
238	200.5	female
239	172.3	female
240	165.8	female
241	193.4	female
242	169.6	female
243	121.8	male
244	165.2	female
245	149.0	unclear
246	99.5	male
247	191.7	female
248	98.2	male
249	159.8	female
250	219.4	female
251	193.4	female
252	183.8	female
253	117.3	male
254	130.1	male
255	172.3	female
256	114.8	male
257	116.7	male
258	173.6	female
259	107.0	male
260	148.0	unclear
261	108.4	male
262	167.0	female
263	179.3	female
264	115.4	male
265	212.0	female
266	183.8	female
267	225.0	female
268	176.4	female
269	99.3	male
270	136.1	unclear
271	119.8	male
272	114.2	male
273	188.5	female
274	162.1	female
275	126.4	male
276	165.8	female
277	176.4	female
278	101.1	male
279	170.9	female
280	196.9	female
281	204.2	female
282	180.7	female
283	234.6	female
284	142.7	unclear
285	232.1	female
286	113.7	male
287	110.8	male
288	103.0	male
289	134.5	male
290	180.7	female
291	123.9	male
292	177.8	female
293	123.9	male
294	152.1	unclear
295	112.8	male
296	89.3	male
297	110.2	male
298	208.0	female
299	200.5	female
300	129.7	male
301	229.7	female
302	187.7	female
303	111.6	male
304	109.7	male
305	206.1	female
306	191.7	female
307	202.3	female
308	133.6	male
309	168.3	female
310	188.5	female
311	193.4	female
312	176.4	female
313	192.6	female
314	173.6	female
315	245.0	female
316	200.5	female
317	132.0	male
318	119.8	male
319	183.8	female
320	130.5	male
321	202.3	female
322	204.2	female
323	167.0	female
324	159.8	female
325	164.6	female
326	106.0	male
327	111.9	male
328	119.2	male
329	123.2	male
330	113.7	male
331	176.4	female
332	96.7	male
333	144.1	unclear
334	105.5	male
335	125.3	male
336	185.3	female
337	122.5	male
338	118.5	male
339	88.9	male
340	182.2	female
341	94.6	male
342	96.7	male
343	208.0	female
344	186.9	female
345	177.8	female
346	150.0	unclear
347	165.8	female
348	186.1	female
349	148.0	unclear
350	120.5	male
351	237.1	female
352	176.4	female
353	100.7	male
354	198.6	female
355	227.3	female
356	180.7	female
357	122.5	male
358	115.4	male
359	242.3	female
360	121.8	male
361	134.5	male
362	131.2	male
363	137.8	unclear
364	135.3	unclear
365	159.2	female
366	180.0	female
367	137.4	unclear
368	132.8	male
369	113.1	male
370	192.6	female
371	115.1	male
372	208.0	female
373	183.0	female
374	111.9	male
375	108.1	male
376	183.8	female
377	206.1	female
378	218.3	female
379	158.6	female
380	92.6	male
381	200.5	female
382	176.4	female
383	169.0	female
384	179.3	female
385	109.4	male
386	124.6	male
387	159.8	female
388	109.4	male
389	191.7	female
390	143.2	unclear
391	139.6	unclear
392	116.7	male
393	121.8	male
394	130.5	male
395	114.2	male
396	212.0	female
397	144.6	unclear
398	122.2	male
399	93.8	male
400	87.5	male
401	114.2	male
402	112.2	male
403	171.6	female
404	122.5	male
405	108.1	male
406	122.5	male
407	129.7	male
408	217.2	female
409	95.5	male
410	102.1	male
411	168.3	female
412	170.3	female
413	101.1	male
414	112.5	male
415	119.8	male
416	123.2	male
417	155.3	female
418	96.3	male
419	167.0	female
420	196.9	female
421	218.3	female
422	165.8	female
423	122.5	male
424	178.5	female
425	131.2	male
426	98.4	male
427	108.9	male
428	104.0	male
429	110.2	male
430	159.8	female
431	95.5	male
432	109.2	male
433	169.6	female
434	184.5	female
435	96.7	male
436	126.4	male
437	122.8	male
438	90.6	male
439	208.0	female
440	172.3	female
441	132.8	male
442	122.5	male
443	212.0	female
444	208.0	female
445	114.2	male
446	197.8	female
447	212.0	female
448	208.0	female
449	222.7	female
450	210.0	female
451	180.7	female
452	96.3	male
453	225.0	female
454	111.1	male
455	200.5	female
456	124.6	male
457	167.7	female
458	177.8	female
459	109.2	male
460	119.8	male
461	184.5	female
462	162.1	female
463	111.6	male
464	190.1	female
465	123.2	male
466	200.5	female
467	180.7	female
468	173.6	female
469	174.3	female
470	148.5	unclear
471	179.3	female
472	109.2	male
473	98.0	male
474	100.7	male
475	162.1	female
476	132.8	male
477	114.8	male
478	136.1	unclear
479	90.0	male
480	159.8	female
481	104.0	male
482	153.1	unclear
483	111.4	male
484	108.6	male
485	184.5	female
486	124.6	male
487	188.5	female
488	202.3	female
489	116.1	male
490	137.8	unclear
491	114.5	male
492	113.7	male
493	185.3	female
494	180.7	female
495	125.3	male
496	103.5	male
497	114.8	male
498	103.5	male
499	86.1	male
500	91.9	male
501	101.1	male
502	115.4	male
503	202.3	female
504	126.0	male
505	196.9	female
506	120.5	male
507	167.0	female
508	145.1	unclear
509	128.9	male
510	138.7	unclear
511	120.8	male
512	109.2	male
513	212.0	female
514	105.5	male
515	185.3	female
516	180.7	female
517	227.3	female
518	94.2	male
519	122.5	male
520	100.2	male
521	124.2	male
522	98.9	male
523	96.7	male
524	183.8	female
525	212.0	female
526	121.2	male
527	110.8	male
528	110.2	male
529	204.2	female
530	155.3	female
531	105.5	male
532	205.1	female
533	96.1	male
534	176.4	female
535	180.7	female
536	183.8	female
537	200.5	female
538	102.3	male
539	219.4	female
540	119.5	male
541	155.3	female
542	121.8	male
543	99.8	male
544	97.6	male
545	208.0	female
546	118.9	male
547	99.3	male
548	217.2	female
549	137.8	unclear
550	218.3	female
551	186.9	female
552	88.9	male
553	206.1	female
554	182.2	female
555	180.7	female
556	210.0	female
557	204.2	female
558	202.3	female
559	101.6	male
560	216.2	female
561	189.3	female
562	185.3	female
563	123.2	male
564	93.2	male
565	186.9	female
566	210.0	female
567	196.9	female
568	98.4	male
569	110.8	male
570	155.3	female
571	99.8	male
572	108.6	male
573	181.5	female
574	188.5	female
575	116.7	male
576	198.6	female
577	122.5	male
578	115.4	male
579	195.1	female
580	185.3	female
581	206.1	female
582	176.4	female
583	121.8	male
584	109.2	male
585	210.0	female
586	123.5	male
587	210.0	female
588	218.3	female
589	110.8	male
590	193.4	female
591	103.3	male
592	162.7	female
593	166.4	female
594	92.6	male
595	208.0	female
596	97.1	male
597	94.6	male
598	135.3	unclear
599	191.7	female
600	99.3	male
601	199.6	female
602	120.8	male
603	225.0	female
604	130.5	male
605	99.3	male
606	110.2	male
607	95.0	male
608	132.0	male
609	108.6	male
610	127.5	male
611	225.0	female
612	156.4	female
613	107.6	male
614	199.6	female
615	99.8	male
616	120.8	male
617	172.3	female
618	108.6	male
619	152.1	unclear
620	149.5	unclear
621	177.8	female
622	110.0	male
623	183.8	female
624	208.0	female
625	188.5	female
626	186.9	female
627	108.1	male
628	185.3	female
629	90.4	male
630	167.0	female
631	93.8	male
632	130.9	male
633	110.8	male
634	93.6	male
635	154.2	unclear
636	108.6	male
637	107.6	male
638	152.6	unclear
639	168.3	female
640	116.7	male
641	92.5	male
642	100.7	male
643	104.0	male
644	179.3	female
645	123.9	male
646	97.6	male
647	170.3	female
648	104.5	male
649	191.7	female
650	196.9	female
651	170.9	female
652	190.1	female
653	114.8	male
654	158.6	female
655	128.9	male
656	220.5	female
657	180.7	female
658	190.1	female
659	111.9	male
660	109.7	male
661	198.6	female
662	99.8	male
663	112.5	male
664	227.3	female
665	169.6	female
666	109.7	male
667	175.0	female
668	128.9	male
669	97.6	male
670	116.1	male
671	114.8	male
672	165.8	female
673	130.5	male
674	137.0	unclear
675	210.0	female
676	176.4	female
677	113.7	male
678	114.2	male
679	196.9	female
680	112.8	male
681	206.1	female
682	162.7	female
683	148.0	unclear
684	111.4	male
685	114.8	male
686	91.9	male
687	91.1	male
688	120.5	male
689	133.6	male
690	132.0	male
691	155.3	female
692	190.1	female
693	232.1	female
694	185.3	female
695	196.9	female
696	155.3	female
697	126.7	male
698	216.2	female
699	227.3	female
700	100.2	male
701	212.0	female
702	220.5	female
703	177.8	female
704	111.9	male
705	133.6	male
706	98.4	male
707	210.0	female
708	196.9	female
709	136.5	unclear
710	180.7	female
711	159.8	female
712	177.8	female
713	139.6	unclear
714	153.1	unclear
715	91.5	male
716	117.9	male
717	172.3	female
718	126.0	male
719	196.9	female
720	99.6	male
721	144.1	unclear
722	120.5	male
723	204.2	female
724	101.4	male
725	120.5	male
726	157.5	female
727	195.1	female
728	134.5	male
729	118.5	male
730	105.5	male
731	222.7	female
732	170.9	female
733	182.2	female
734	128.9	male
735	106.3	male
736	97.6	male
737	234.6	female
738	94.8	male
739	111.9	male
740	112.8	male
741	177.8	female
742	101.1	male
743	97.6	male
744	135.3	unclear
745	196.9	female
746	222.7	female
747	144.1	unclear
748	179.3	female
749	131.2	male
750	105.0	male
751	108.6	male
752	94.6	male
753	120.8	male
754	204.2	female
755	186.9	female
756	151.0	unclear
757	212.0	female
758	116.7	male
759	177.8	female
760	106.0	male
761	201.4	female
762	128.2	male
763	112.5	male
764	186.9	female
765	216.2	female
766	179.3	female
767	110.5	male
768	178.5	female
769	101.1	male
770	110.0	male
771	222.7	female
772	116.1	male
773	193.4	female
774	156.9	female
775	191.7	female
776	121.2	male
777	170.3	female
778	96.9	male
779	123.9	male
780	180.7	female
781	99.8	male
782	147.0	unclear
783	173.6	female
784	108.6	male
785	234.6	female
786	177.8	female
787	113.7	male
788	112.5	male
789	124.2	male
790	190.1	female
791	158.6	female
792	120.5	male
793	118.5	male
794	208.0	female
795	121.2	male
796	212.0	female
797	96.3	male
798	166.4	female
799	136.1	unclear
800	87.8	male
801	107.8	male
802	128.9	male
803	111.9	male
804	116.7	male
805	84.8	male
806	88.6	male
807	222.7	female
808	117.3	male
809	112.5	male
810	170.9	female
811	98.0	male
812	127.5	male
813	109.7	male
814	110.5	male
815	191.7	female
816	132.8	male
817	143.2	unclear
818	108.6	male
819	198.6	female
820	206.1	female
821	114.8	male
822	108.1	male
823	190.1	female
824	115.4	male
825	128.2	male
826	117.3	male
827	121.2	male
828	134.5	male
829	105.0	male
830	196.9	female
831	97.1	male
832	196.9	female
833	195.1	female
834	122.2	male
835	204.2	female
836	119.2	male
837	204.2	female
838	104.5	male
839	105.0	male
840	204.2	female
841	94.6	male
842	106.8	male
843	130.1	male
844	116.7	male
845	147.5	unclear
846	99.8	male
847	98.9	male
848	113.7	male
849	202.3	female
850	213.0	female
851	113.1	male
852	135.3	unclear
853	195.1	female
854	101.1	male
855	111.6	male
856	100.0	male
857	129.3	male
858	98.9	male
859	88.9	male
860	170.9	female
861	116.1	male
862	173.6	female
863	93.0	male
864	188.5	female
865	164.6	female
866	152.1	unclear
867	114.8	male
868	101.6	male
869	208.0	female
870	97.6	male
871	152.1	unclear
872	175.0	female
873	169.0	female
874	167.0	female
875	202.3	female
876	116.7	male
877	190.1	female
878	119.8	male
879	114.5	male
880	188.5	female
881	172.3	female
882	103.5	male
883	116.4	male
884	127.5	male
885	145.1	unclear
886	183.8	female
887	177.8	female
888	124.6	male
889	123.2	male
890	108.9	male
891	111.4	male
892	104.5	male
893	126.0	male
894	179.3	female
895	121.8	male
896	106.5	male
897	177.8	female
898	110.2	male
899	108.6	male
900	125.3	male
901	120.2	male
902	117.9	male
903	177.8	female
